local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
1.0	0.7961	trending	0.1393	get on	video
0.0002	0.8833	quiet	0.1393	has_trait	waste product
1.0	0.8032	geology	0.1393	use	archaeologist
0.0417	0.8136	pairs	0.1393	occur in	sunspot
0.0009	0.9152	it	0.1393	has_property	bye
1.0	0.7487	sexual life cycle of humans	0.1393	interact in	meiosis
0.0014	0.8469	uses	0.1393	can	pimple
0.0021	0.8124	own	0.1393	can	brick
0.0004	0.8924	up	0.1393	can	grid
0.0004	0.8924	up	0.1393	can	pesticide
0.2267	0.8233	rose family part of	0.1393	have	strawberry
0.0001	0.9583	uk	0.1393	has_property	california sea lion
0.0057	0.8234	shake	0.1393	can	fan
0.5733	0.8218	throughout the book	0.1393	grow	scout
1.0	0.6665	alberta unique	0.1393	make	fossil
0.0009	0.9589	banned	0.1393	has_property	legend
1.0	0.8943	separate group	0.1393	be in	hydrogen
1.0	0.8058	days	0.1393	come out rather than	new releases
0.0012	0.8861	sound	0.1393	make	howler monkey
0.0007	0.9453	box	0.1393	can	crank
0.0866	0.9164	proteins	0.1393	affect	detergent
1.0	0.9155	trade	0.1393	be from	gain
0.328	0.8497	conflict	0.1393	lead to	interest
0.0006	0.9075	bad	0.1393	go	beer
0.0052	0.9216	pain	0.1393	cause	tinnitus
0.0012	0.9585	environment	0.1393	help	wetland
1.0	0.806	ice	0.1393	occur	wilting
0.0062	0.889	food	0.1392	be added to	calcium carbonate
0.001	0.8981	red	0.1392	turn	sunflower
0.0056	0.9436	industry	0.1392	be used in	uranium
1.0	0.7697	workplace safety meetings	0.1392	can contribute to	employee
0.077	0.8629	human body	0.1392	help	food
0.5348	0.8933	composition of atmosphere	0.1392	affect	volcanic eruption
0.0837	0.8724	stupid	0.1392	act	prep
1.0	0.7624	libraries	0.1392	feel about	author
0.0008	0.8249	idle	0.1392	can	bug
0.5866	0.7644	human consumption	0.1392	be fit for	dog food
0.0006	0.9572	on specify	0.1392	has_property	working man
0.3526	0.8129	limestone	0.1392	become	calcium carbonate
1.0	0.8717	us live	0.1392	help	science
0.0369	0.8237	crew	0.1392	has_property	barrier
0.0003	0.877	cut	0.1392	can	orange
0.0002	0.9384	be	0.1392	can	everyone
0.2372	0.8898	healing	0.1392	affect	corticosteroid
0.0034	0.8297	rap	0.1392	can	place
1.0	0.8897	full moon	0.1392	be high on	tide
0.0049	0.936	fire	0.1392	catch on	rv
0.0009	0.9589	banned	0.1392	has_property	bird
1.0	0.8921	better day	0.1392	has_property	chinese food
0.0795	0.9176	more sustainable	0.1392	can become	school
1.0	0.7231	textbooks pd	0.1392	use	teacher
0.0019	0.8069	yawn	0.1392	can	bug
0.3622	0.8616	important globally	0.1392	has_property	rainforest
1.0	0.8005	to an audience	0.1392	appeal	logo
1.0	0.8876	species	0.1392	be important in	variation
1.0	0.7846	previous surgeries	0.1392	ask about	doctor
1.0	0.8307	monsoon forest	0.1392	be deciduous in	tree
0.1571	0.8914	blood glucose	0.1392	increase	statin
0.6382	0.8442	patient with us	0.1392	has_property	god
0.0321	0.9039	photosynthesis	0.1392	use	tree
0.0015	0.84	ask	0.1392	can	hole
1.0	0.8453	necessary in stories with	0.1392	has_property	flashback
0.029	0.9325	childcare	0.1392	be important in	legislation
0.0002	0.9384	be	0.1392	can	capricorn
0.0156	0.8395	ineffective	0.1392	be	league of nations
0.0019	0.8069	yawn	0.1392	can	body
0.0107	0.879	huge	0.1392	has_property	pupil
0.0088	0.8626	arm	0.1392	has_body_part	clog
0.0002	0.9194	zero	0.1392	has_property	landlord
0.8572	0.8417	fabric	0.1392	be converted into	fleece
0.0003	0.9077	eat	0.1392	can	giblet
0.0	0.9469	good	0.1392	has_trait	prawn
0.0008	1.0	wwi	0.1392	has_property	donut
0.0014	0.9103	him	0.1392	has_property	red panda
0.0163	0.7632	irritation	0.1392	has_property	lower respiratory infection
0.0009	0.9638	australia	0.1392	has_property	lower respiratory infection
0.0322	0.825	jerk	0.1392	can	bug
0.0004	0.9025	wet	0.1392	can	advertisement
0.0018	0.8484	utilize	0.1392	can	advertisement
0.0012	0.7831	swear	0.1392	can	advertisement
0.0006	0.8214	squeeze	0.1392	can	advertisement
1.0	0.846	free shipping on amazon	0.1392	offer	seller
1.0	0.8406	luke	0.1392	be portrayed in	disciple
0.0009	0.8571	size	0.1392	can	track
0.1664	0.8871	bonds	0.1392	have bivalent	organic compound
0.0009	0.8571	size	0.1392	can	tooth
0.0041	0.9582	calories	0.1392	be high in	oreo
1.0	0.8887	different shape of tail	0.1392	have	goldfish
0.3523	0.882	cold sores	0.1392	be good for	ice
0.0003	0.806	put	0.1392	can	concentration
0.0032	0.7806	guide	0.1392	can	troop
1.0	0.8747	years	0.1392	sleep for	astronaut
1.0	0.7701	flight numbers	0.1392	assign	airline
0.0085	0.8883	gravity	0.1392	have	larger objects
0.0006	0.9407	la	0.1392	has_property	regulation
1.0	0.8182	space	0.1392	speed up in	time
0.7947	0.8932	twitter	0.1392	be allowed on	bot
0.0004	0.9116	do	0.1392	has_property	antigen
0.0009	0.8852	yield	0.1392	can	tooth
0.0053	0.9201	learn	0.1392	can	deafness
1.0	0.8926	adp	0.1392	be from	atp
0.0004	0.8947	yellow	0.1392	can	wedge
1.0	0.8115	silly things	0.1392	get over	gal
0.003	0.8247	saw	0.1392	can	bug
0.004	0.9267	week	0.1392	be on	ant
0.1247	0.7626	names	0.1392	pick	rapper
1.0	0.7474	saving money tacky	0.1392	find	society
0.5581	0.8447	time when off	0.1392	keep	electronics
0.0003	0.877	cut	0.1392	can	bicycle
0.1298	0.8367	twice	0.1392	die	shadow
0.0095	0.7971	gag	0.1392	can	element
0.1111	0.8144	night	0.1392	meow at	siamese cat
1.0	0.618	movie hoppers	0.1392	catch	theater
0.0941	0.8727	pop	0.1392	be the queen of	boa
0.3892	0.8442	jello	0.1392	can eat	vegan
1.0	0.7597	to remove rust from a metal surface	0.1392	can be used	phosphoric acid
0.0003	0.8772	lyrics	0.1392	can	hole
0.0007	0.8949	sum	0.1392	has_property	willow tree
1.0	0.7986	too much water	0.1392	can die of	plant
0.001	0.9258	bad	0.1392	smell	wart
0.0299	0.8923	mushy	0.1392	get	fish
1.0	0.8122	the bathroom when they hibernate	0.1392	use	bear
0.0093	0.833	arms	0.1392	can	wale
0.0047	0.9152	communication	0.1392	affect	introvert
1.0	0.7907	wildlife	0.1392	hunt more	european
0.0002	0.8596	occur	0.1392	can	northerner
0.0012	0.9393	music	0.1392	has_property	pink floyd
0.0492	0.8989	tool	0.1392	can	spinning
0.0181	0.8612	snakes	0.1392	has_movement	hawaii
0.0027	0.9147	water	0.1392	absorb	fibrous roots
0.0833	0.8937	out of date	0.1392	has_property	flash
0.1179	0.8639	numb while sleeping	0.1392	go	finger
0.0008	0.8653	out	0.1392	can	pitcher
0.0285	0.9086	carbon dioxide	0.1392	release	car
0.674	0.8685	a nickname for william	0.1392	has_property	bill
0.027	0.867	land	0.1392	move on	scallop
0.0204	0.9143	when done	0.1392	has_property	king crab
0.0003	0.877	cut	0.1392	can	snot
1.0	0.8452	to mercury	0.1392	can be exposed	human
0.0006	0.9407	la	0.1392	has_property	snowy owl
0.0007	0.918	dog	0.1392	can	seafood
0.7878	0.7981	muscular system	0.1392	need	circulatory system
0.374	0.8356	imports	0.1392	can	de
0.001	0.8947	tsunami	0.1392	has_property	tornado
0.0003	0.806	put	0.1392	can	traveller
0.0008	0.8917	other	0.1392	has_property	koala
0.006	0.9279	themselves from predators	0.1392	protect	grasshopper
0.4234	0.7833	stem tuber	0.1392	has_property	sugarcane
0.4847	0.7684	to be dominated	0.1392	like	girl
0.0006	0.8932	matt	0.1392	has_property	scan
0.0496	0.8367	advantageous	0.1392	has_property	binding
0.0017	0.9235	cheaper	0.1392	has_property	hardcover
0.0031	0.9188	married	0.1392	get	sibling
0.0041	0.8859	last	0.1392	has_time	bean sprout
0.0385	0.7227	basso	0.1392	has_property	bean sprout
0.826	1.0	osborn	0.1392	has_property	bean sprout
0.008	0.8448	ordered	0.1392	has_property	bean sprout
1.0	0.6196	destructible	0.1392	has_property	bean sprout
0.0059	0.9221	odor	0.1392	has_property	bean sprout
0.0047	0.8849	oakland	0.1392	has_property	bean sprout
0.049	0.8464	gummy	0.1392	has_property	bean sprout
0.0005	1.0	fqdn	0.1392	has_property	bean sprout
0.0377	0.8376	cyanide	0.1392	has_property	bean sprout
0.0017	0.8734	curable	0.1392	has_property	bean sprout
0.0084	0.8671	obese	0.1392	has_weight	bean sprout
0.0041	0.8859	last	0.1392	has_time	bean sprout
1.0	0.8594	app store	0.1392	remove apps from	apple
1.0	0.7986	beijing	0.1392	affect food consumption in	wealth
0.0004	0.8613	age	0.1392	can	wiggle
0.0134	0.9723	cells	0.1392	be important to	oxygen
0.0004	0.8613	age	0.1392	can	solid
0.0012	0.8697	swollen	0.1392	has_property	areola
0.558	0.8482	higher than revenue	0.1392	can be	earnings
0.0416	0.8069	recover	0.1392	can	bodybuilder
0.0007	0.8821	had	0.1392	can	failure
1.0	0.8076	for fleas	0.1392	can be treated	land
0.0011	0.8847	iron	0.1392	can	shovel
0.0023	0.8869	dress	0.1392	can	bartender
0.052	0.8234	shown	0.1392	can	proton
0.0004	0.8698	itch	0.1392	can	chronic
0.0093	0.8278	cab	0.1392	can	ra
1.0	0.8311	no sense of shame	0.1392	have	some girls
0.2365	0.9075	trees	0.1392	get into	turkey
0.4329	0.8453	more of themselves	0.1392	make	cell
0.0016	0.8799	pay	0.1392	can	loser
1.0	0.8061	on a map	0.1392	occur	distortion
0.1031	0.77	bedding	0.1392	eat	chinchilla
0.0005	0.9705	environment	0.1392	affect	kerosene
0.1692	0.919	earth	0.1392	rotate with	cloud
0.0004	0.8698	itch	0.1392	can	insect
0.0013	0.8618	sink	0.1392	can	cabin
0.0	0.8758	work	0.1392	can	chlorine
1.0	0.8336	graduate gpa	0.1392	look at	law school
1.0	0.8962	islam	0.1392	be unique from	christianity
0.26	0.8297	bleed	0.1392	nose	toddler
0.1072	0.8285	member	0.1392	has_property	gang
0.4846	0.8205	therapy	0.1392	be resistant to	personality disorder
0.0007	0.9453	box	0.1392	can	meringue
0.001	0.8947	tsunami	0.1392	has_property	planet
0.0085	0.8206	energy	0.1392	make	cellular respiration
1.0	0.8406	amigo acids course	0.1392	be called	amino acid
0.0004	0.8555	fee	0.1392	can	epinephrine
0.0773	0.8911	water	0.1392	be located near	steel mill
0.0004	0.8698	itch	0.1392	can	solvent
0.8411	0.9137	intelligent	0.1392	can be	everyone
0.0995	0.8461	rem sleep	0.1392	affect	benzodiazepine
0.001	0.8548	type	0.1392	has_property	switch
1.0	0.8395	dark	0.1392	appear outside in	honey bees
1.0	0.7729	poly estrous animals	0.1392	be described as	pig
0.0019	0.9125	cool	0.1392	has_temperature	animal
0.1961	0.8994	night	0.1392	can work at	solar panel
0.0556	0.838	bye	0.1392	say	gangster
1.0	0.8701	3 fatty acids	0.1392	get	vegan
0.0003	0.806	put	0.1392	can	fashion
0.015	0.819	influential	0.1392	has_property	henry ford
0.0002	0.943	alive	0.1392	be	barney
0.6582	0.8559	blood sugar	0.1392	control	diabetic
0.105	0.82	bones	0.1392	chew on	cow
1.0	0.7707	to alzheimer's disease	0.1392	respond	astrocyte
1.0	0.7732	outcome	0.1392	be pleased with	macbeth
0.0008	0.8375	run	0.1392	can	orchid
0.0364	0.9196	removed	0.1392	need	polyp
0.1375	0.8504	monster hunter world	0.1392	work in	element
0.0821	0.8161	cleanse	0.1392	can	juice
0.3661	0.7757	car	0.1392	depreciate	mile
0.0007	0.918	dog	0.1392	can	species
0.1834	0.9184	white inside	0.1392	has_property	strawberry
0.035	0.9149	themselves from enemies	0.1392	protect	zebra
0.0036	0.9226	risk	0.1392	be at	coral reef
0.0042	0.9583	germany	0.1392	be in	healthcare
0.0008	0.9096	egg	0.1392	has_property	planet
0.0036	0.7984	club	0.1392	can	writer
1.0	0.8812	to go to the party	0.1392	want	romeo
0.5707	0.7341	exercise	0.1392	tingle after	muscle
0.0008	0.8249	idle	0.1392	can	hole
0.1632	0.8503	pk	0.1392	say	luca
0.0004	0.9432	related	0.1392	has_property	nature
0.2353	0.889	offspring	0.1392	be passed onto	trait
0.0006	0.9216	harmful	0.1392	has_effect	triglyceride
0.0172	0.6971	unconstitutional	0.1392	be	writ of mandamus
0.7094	0.8214	identical twins	0.1392	be like	clone
0.0471	0.7774	note	0.1392	can	union
0.0019	0.9036	blood pressure	0.1392	affect	methocarbamol
0.0002	0.863	die	0.1392	can	bridge
1.0	0.8416	practice	0.1392	can improve	farmer
1.0	0.7944	ballet shoes	0.1392	fit in	toe
0.0012	0.9585	environment	0.1392	help	prairie dog
0.0425	0.8983	dance	0.1392	be used in	cannon
1.0	0.919	in the bible considered	0.1392	be	ruth
0.0997	0.8522	evolutionary	0.1392	has_property	economics
1.0	0.8626	in the economy	0.1392	be distributed	income
1.0	0.7839	age of plants	0.1392	can tell	fossil
0.0104	0.9713	environment	0.1392	respond to	earthworm
0.1285	0.7635	people	0.1392	greet	european
0.2189	0.8924	habitable planet	0.1392	has_property	mar
1.0	0.7327	corns	0.1392	can	greyhound
0.003	0.8826	eat	0.1392	has_property	sparrow
0.3059	0.7456	shirts	0.1392	fold	store
1.0	0.8098	anthem	0.1392	exist in	rule
0.2269	0.8805	basketball	0.1392	have	stadium
1.0	0.8503	time with treatment	0.1392	develop over	schizophrenia
0.0022	0.8088	close	0.1392	can	muffin
0.0002	0.9376	white	0.1392	has_color	baby cockroaches
0.4533	0.783	boredom	0.1392	deal with	psychopath
1.0	0.8171	the west bank	0.1392	rule	israel
1.0	0.7704	to the reconstruction of history	0.1392	contribute	coin
0.1104	0.8897	quality of soil	0.1392	affect	activity
0.0199	0.9065	glasses	0.1392	can	prism
1.0	0.8598	rugby	0.1392	be compared to	scrum
0.0056	0.8558	ok	0.1392	have	queen elizabeth
0.0479	0.8273	umbrellas	0.1392	use	japanese
0.7422	0.9065	loud	0.1392	be called	weed
1.0	0.8269	truly multicellular animals	0.1392	be considered	sponge
0.0003	0.8772	lyrics	0.1392	can	bogey
0.1177	0.9143	house work	0.1392	be in	electrical system
1.0	0.8575	royals	0.1392	be called	kansas city
0.0023	0.9428	female	0.1392	has_property	scan
1.0	0.9412	32 on sleeves	0.1392	have	blue jay
0.0009	0.8756	oil	0.1392	can	insect
1.0	0.7403	rude patients	0.1392	deal with	receptionist
0.4707	0.701	ventilate	0.1392	can	firefighter
0.0001	0.9451	bad	0.1392	has_property	incisor
0.005	0.9014	pain	0.1392	can	bone
0.2286	0.8578	water pressure	0.1392	get	skyscraper
0.1111	0.7817	drugs	0.1392	detect	blood test
1.0	0.7347	longest revolution	0.1392	have	neptune
0.326	0.8192	cod ww2	0.1392	work in	bribe
1.0	0.8172	similar reactions	0.1392	have	alkali metal
0.0304	0.7994	upright	0.1392	walk	penguin
1.0	0.8784	poor soil	0.1392	can grow in	legume
1.0	0.8058	source of diversity	0.1392	be considered	chromosome
0.0003	0.877	cut	0.1392	can	filling
0.0017	0.8337	symbolize	0.1392	can	thong
0.0013	0.8618	sink	0.1392	can	thong
0.0014	0.8575	ignoring	0.1392	has_property	rodentia
0.0085	0.7623	food	0.1392	catch	puffin
0.0003	0.806	put	0.1392	can	liner
0.0003	0.9414	black	0.1392	has_color	scallop shell
1.0	0.8639	agrodolce	0.1392	has_property	zucchini
0.0036	0.7984	club	0.1392	can	lion
0.0017	0.863	map	0.1392	can	solid
0.0003	0.9056	similar	0.1392	has_property	quota
1.0	0.8385	hair	0.1392	head	people
0.0652	0.8602	haven	0.1392	has_property	franc
0.0127	0.8785	recessive	0.1392	has_property	blood type
0.1634	0.9587	fm	0.1392	be in	time limit
0.0015	0.8008	average	0.1392	can	fruit
0.4279	0.7405	hand towel	0.1392	be vs	towel
1.0	0.8458	flow of energy	0.1392	relate to	photosynthesis
0.0014	0.8782	award	0.1392	can	audience
0.0019	0.9036	blood pressure	0.1392	affect	vodka
0.0794	0.9009	2019	0.1392	have but	toronto
0.1608	0.87	depolarize	0.1392	can	cell
0.0636	0.9384	earth	0.1392	be bad for	fuel
0.6329	0.8643	running	0.1392	be different	treadmill
0.002	0.8655	switch	0.1392	can	touter
0.3227	0.8139	madden 18	0.1392	work in	slider
0.0063	0.8959	units	0.1392	has_property	scan
1.0	0.8314	themselves in the sand	0.1392	burrow	clam
1.0	0.7292	compartmentalize	0.1392	can	cell
1.0	0.9076	salt bridge	0.1392	used in	potassium nitrate
1.0	0.8879	orange soccer uniforms	0.1392	wear	the netherlands
0.0028	0.9421	space	0.1392	be in	panther
0.2342	0.8233	hulk	0.1392	be afraid of	black widow
0.0005	0.8554	rhyme	0.1392	can	glacier
0.0019	0.8589	mud	0.1392	can	insect
0.0023	0.9393	to be refrigerated	0.1392	need	cetchup
1.0	0.8486	in the bible loyal	0.1392	be	ruth
0.0014	0.8882	escape	0.1392	can	jaw
0.0162	0.8226	chemistry	0.1392	use	physical therapist
0.0476	0.8968	heat	0.1392	go in	pig
0.0003	0.9077	eat	0.1392	can	good
0.0007	0.9453	box	0.1392	can	fail
0.0016	0.8799	pay	0.1392	can	hole
1.0	0.8521	people	0.1392	be identified by	muslim
0.2289	0.8948	in the brain	0.1392	be measured	dopamine
