subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
electrical energy	be made from	alternative form of energy	0.0416	0.8502	1.0
organism	usually molt from	time to time	0.0416	0.801	1.0
afterburner	has_color	blue	0.0416	0.9415	0.0001
plaid	be pronounced	play	0.0416	0.8596	0.725
bus line	has_property	nyc	0.0416	0.9525	0.0002
gdp	has_property	different from gnp	0.0416	0.9776	0.6518
cedar	has_property	springs	0.0416	0.8578	0.0365
plagiarization	has_place	away	0.0416	0.938	0.0001
pond	can	vacuum	0.0416	0.9252	0.0168
market economy	has_property	better than command economy	0.0416	0.8469	0.0258
herbert	help	pip	0.0416	0.839	1.0
recession	keep	happening	0.0416	0.7978	0.0564
bolt	has_property	hero	0.0416	0.9647	0.0003
pancytopenia	develop in	acute leukemia	0.0416	0.7754	1.0
advertisement	load	faster	0.0416	0.7811	0.4365
nuclear power plant	has_property	stands	0.0416	0.8878	0.3798
fingernail	lift off	nail bed	0.0416	0.9354	0.0385
eruption	has_property	autoimmune	0.0416	0.9135	0.0015
eruption	has_property	awaken	0.0416	0.8134	0.0011
eruption	has_property	aquatic	0.0416	0.946	0.0001
eruption	has_property	ao3	0.0416	1.0	0.0002
eruption	has_property	aerobic	0.0416	0.8851	0.0007
eruption	has_property	addictive	0.0416	0.9266	0.0002
appeal	come	about	0.0416	0.8218	0.0024
guy	be tested for	chlamydia	0.0416	0.8948	0.3505
marketing	differ from	sales	0.0416	0.845	1.0
styx	has_property	joan	0.0416	0.8509	0.0928
vampire	has_time	yet	0.0416	0.9117	0.0002
foetus	be at	night	0.0416	0.9184	0.001
phenytoin	has_property	supplied	0.0416	0.8615	0.0123
dropout	can	help	0.0416	0.9116	0.0001
fortran	be in	java	0.0416	0.9498	0.0022
tee	has_property	uitnodiging	0.0416	1.0	0.0379
distilled water	has_property	suitable reference solution for spectrophotometer	0.0416	0.7798	1.0
ethanol	slow	process of fermentation	0.0416	0.7995	1.0
spider plant	have	one box	0.0416	0.9402	0.0072
spasm	has_property	necessary	0.0416	0.9381	0.0001
spasm	has_diet	vegan	0.0416	0.9111	0.0
noah	die in	walking dead	0.0416	0.9887	0.0081
ether	has_property	insoluble in water	0.0416	0.8993	0.0012
third-degree burn	has_property	dog	0.0416	0.9505	0.0002
giraffe	go for	long periods of time without water	0.0416	0.8692	1.0
water	has_body_part	ear	0.0416	0.8734	0.0019
kunzite	can	fade	0.0416	0.8282	0.0026
california	have	poor air quality	0.0416	0.9104	0.0767
lymphocyte	has_property	circulation	0.0416	0.9569	0.0146
listing	get flagged on	craigslist	0.0416	0.778	0.0907
giraffe	has_property	numb	0.0416	0.8773	0.0013
archeology	has_property	ireland	0.0416	0.9613	0.0002
plant	affect	erosion	0.0416	0.882	0.0076
library	adopt	open-source software	0.0416	0.7366	1.0
criminal record	spent in	uk	0.0416	0.912	0.1472
milo	can	quit	0.0416	0.8937	0.0001
beloved	has_property	gothic	0.0416	0.9076	0.0067
eardrum	has_property	not	0.0416	0.9357	0.0001
ground	has_trait	weak	0.0416	0.9004	0.0004
bleach	get	rid of gnats	0.0416	0.877	0.3045
mad cow disease	has_diet	vegan	0.0416	0.9111	0.0
disinfectant	has_property	quieter	0.0416	0.8547	0.0029
checkpoint	can	occur	0.0416	0.8906	0.0001
suicide	has_property	reported	0.0416	0.9102	0.0034
faithful	can	mean	0.0416	0.8744	0.0001
scaling	has_property	ignite	0.0416	0.8278	0.0005
fiber optic cable	has_property	car	0.0416	0.9435	0.0002
mean	has_property	needed	0.0416	0.9335	0.0003
lavender	has_property	oxidized	0.0416	0.9166	0.001
lavender	has_property	okay	0.0416	0.9197	0.0004
lavender	has_property	ohio	0.0416	0.9652	0.0001
lavender	has_property	aquatic	0.0416	0.946	0.0001
lavender	has_property	idle	0.0416	0.8291	0.0001
lavender	has_property	iud	0.0416	1.0	0.0001
lavender	has_property	ignored	0.0416	0.9374	0.0001
lavender	has_property	dwarf	0.0416	0.9475	0.0002
lavender	has_property	dvd	0.0416	0.9348	0.0001
lavender	has_property	dna	0.0416	0.9504	0.0002
lavender	has_property	dhaka	0.0416	0.8722	0.0025
lavender	has_property	lbs	0.0416	0.9543	0.0002
lavender	has_property	bjj	0.0416	0.9393	0.0002
lavender	has_property	bhubaneswar	0.0416	1.0	0.0126
lavender	has_property	bsa	0.0416	1.0	0.0002
lavender	has_property	awesome	0.0416	0.8884	0.0002
lavender	has_property	aquatic	0.0416	0.946	0.0001
lavender	has_property	alive	0.0416	0.9547	0.0001
lavender	has_property	aesthetic	0.0416	0.8792	0.0002
lavender	has_property	acidic	0.0416	0.9328	0.0003
lavender	has_property	absorbed	0.0416	0.9112	0.0016
lavender	has_trait	aggressive	0.0416	0.9077	0.0002
euthanasia	end up in	dog food	0.0416	0.89	0.1991
greenhouse effect	be related to	climate change	0.0416	0.905	0.0535
cpu	has_property	go	0.0416	0.9403	0.0001
diversity	be important to	canada	0.0416	0.9735	0.0009
ethic	has_property	in science	0.0416	0.9461	0.0032
meat	be	bad for the body	0.0416	0.9674	0.0115
shover	has_property	rhyme	0.0416	0.8905	0.0006
black-crowned night heron	has_property	ukraine	0.0416	0.9416	0.0007
hydroponics	has_property	increasing	0.0416	0.8902	0.0012
westie	can	howl	0.0416	0.8253	0.0034
teacher	be called	nation builders	0.0416	0.8118	1.0
natural selection	has_property	same	0.0416	0.9642	0.0003
brake light	has_property	olga	0.0416	1.0	0.0579
hippo	has_property	aquarium	0.0416	0.9562	0.0004
dink	has_property	urban	0.0416	0.8778	0.0005
computer	be slower than	other	0.0416	0.958	0.3355
fire-on-the-mountain	has_property	ft	0.0416	0.9474	0.0001
extract	be called	antigens	0.0416	0.8724	1.0
structure	differ	put	0.0416	0.8744	1.0
nuclear energy	be used	to supply electricity	0.0416	0.8906	0.3374
assessment	differ from	evaluation	0.0416	0.8516	0.3757
ratio	be important in	financial decision making	0.0416	0.9319	1.0
enl	has_property	france	0.0416	0.9563	0.003
eli whitney	be	wrong about the cotton gin	0.0416	0.841	1.0
electric car	has_property	more expensive than conventional ones	0.0416	0.9233	0.6349
fruit	be	seedless	0.0416	0.9289	0.0049
usa	get in	winter olympics	0.0416	0.9297	1.0
honk	has_diet	vegan	0.0416	0.9111	0.0
international space station	make	oxygen	0.0416	0.8805	0.0078
equity release	affect	care home fees	0.0416	0.7509	1.0
hair	has_property	hard to pull out	0.0416	0.9064	0.5618
oversight	has_property	win	0.0416	0.8801	0.0008
satyr	can	mean	0.0416	0.8744	0.0001
synesthesia	can	occur	0.0416	0.8906	0.0001
tv	has_property	ask	0.0416	0.8516	0.0006
plasmodium	has_property	dan	0.0416	0.9508	0.0002
stylist	has_property	xxl	0.0416	0.8741	0.0018
stylist	has_property	lyrics	0.0416	0.8855	0.0001
wound	hurt hurt	after the injury	0.0416	0.9021	1.0
tiger	try	to avoid being eaten	0.0416	0.9301	1.0
scrubber	be used	to reduce air pollution	0.0416	0.9289	1.0
deviated septum	has_property	causes	0.0416	0.8645	0.0007
science	be used	to understand tornadoes	0.0416	0.8594	1.0
alkaloid	can	mean	0.0416	0.8744	0.0001
sexual reproduction	introduce variation into	population	0.0416	0.8185	1.0
liquid	be absorbed in	body	0.0416	0.9853	0.01
clay	has_movement	dance	0.0416	0.9476	0.0026
clay	has_property	перевод	0.0416	1.0	0.0283
period	have timing of	3 days	0.0416	0.7983	1.0
sirloin steak	has_property	cheap	0.0416	0.9433	0.0003
everyone	leave	matches	0.0416	0.7687	1.0
hacking	has_property	possible	0.0416	0.9047	0.0009
scanning	has_property	was	0.0416	0.9496	0.0001
pepperoni	give	gas	0.0416	0.8598	0.0007
wardrobe	be attached to	walls	0.0416	0.905	0.3153
butterfly	has_property	ko	0.0416	0.9194	0.001
bike	has_property	nonliving thing	0.0416	0.879	1.0
dried fruit	has_property	pay	0.0416	0.9498	0.0002
screening	has_property	illinois	0.0416	0.9556	0.0006
tenerife	be in	april	0.0416	0.9586	0.002
wheat	be used in	wine making	0.0416	0.9372	0.0659
hot weather	has_property	gas	0.0416	0.9479	0.0002
oil	be dangerous to	cats	0.0416	0.9209	0.101
personal	has_trait	dynamics	0.0416	0.7787	0.0044
egoism	has_trait	good	0.0416	0.9469	0.0
staircase	move in	harry potter	0.0416	0.9197	0.1947
pacific	has_property	owner	0.0416	0.8566	0.0003
ben	has_property	from big brother famous	0.0416	0.8529	1.0
money	solve	most of problems of barter	0.0416	0.7902	1.0
blind side	relate to	psychology	0.0416	0.8622	0.0043
enlil	want	to destroy humankind	0.0416	0.826	1.0
physician	be regulated	by government	0.0416	0.8727	0.2092
rough	has_property	ira	0.0416	0.9214	0.0007
dead sea	has_property	salt water	0.0416	0.9747	0.0252
personal	has_property	feedback	0.0416	0.8955	0.041
personal	has_property	ambition	0.0416	0.7888	0.0309
statice	has_property	perennial	0.0416	0.7499	0.0214
led	has_property	it	0.0416	0.9292	0.0003
hater	has_property	not	0.0416	0.9357	0.0001
catcher	has_property	twitch	0.0416	0.9338	0.0007
president roosevelt	be	reluctant to use deficit spending to help american economy from the great depression	0.0416	0.7301	1.0
partnership	be taxed	australia	0.0416	0.9392	0.4453
death	be in	love with dead pool	0.0416	0.8836	0.3802
jail	has_property	occur	0.0416	0.8977	0.0002
utopia	has_place	away	0.0416	0.938	0.0001
thumb	has_property	nu	0.0416	0.8775	0.0016
kid	have	grow	0.0416	0.8787	0.0807
datum	has_property	oxymoron	0.0416	0.7985	0.0114
cv	has_property	than	0.0416	0.9289	0.0034
elector	be in	electoral college chosen	0.0416	0.9175	1.0
frankincense	can	burn	0.0416	0.859	0.0003
organ	can	swell	0.0416	0.825	0.0005
folder	has_property	if	0.0416	0.8882	0.0002
neb	has_movement	closing	0.0416	0.8752	0.0006
intercostal	has_property	oblique	0.0416	0.6156	0.045
intercostal	has_color	yellow	0.0416	0.9462	0.0
intercostal	has_property	kick	0.0416	0.925	0.0191
tomato	take long	ripen	0.0416	0.8304	1.0
bond rating	be related	to default risk	0.0416	0.8153	1.0
callback	has_property	example	0.0416	0.9062	0.0014
barrier	be in	ragnarok	0.0416	0.8903	0.0364
wickr	can	work	0.0416	0.9421	0.0
cold front	has_property	alike	0.0416	0.8898	0.0001
wood	has_property	buoyant	0.0416	0.8277	0.0481
brachiopod	has_property	good index fossils	0.0416	0.9465	0.1004
phlegm	has_property	twice	0.0416	0.9126	0.0002
nutsedge	can	grow	0.0416	0.9154	0.0001
thousand	has_property	spell	0.0416	0.8797	0.0056
systemic lupus erythematosus	has_property	inf	0.0416	0.9051	0.0008
aluminium oxide	has_property	hs code	0.0416	0.8501	0.0004
personal	has_property	ftp	0.0416	0.9493	0.0003
piston	has_property	cam ground	0.0416	0.8667	1.0
melamine	has_property	natural	0.0416	0.8818	0.0004
zakat	has_property	most important pillar	0.0416	0.8609	0.0373
nasua	has_property	sartre	0.0416	1.0	1.0
nasua	has_property	types	0.0416	0.9341	0.0002
exercise	has_property	no	0.0416	0.9137	0.0002
liquidity	can	matter	0.0416	0.8597	0.0005
temperature	affect	density of object	0.0416	0.8937	1.0
chemical	has_property	mixed in natural gas	0.0416	0.8223	0.6243
cleanliness	has_property	activity	0.0416	0.8774	0.0036
cardia	has_property	function	0.0416	0.9352	0.0012
ash	want	dunsparce	0.0416	0.9431	1.0
american	be	inclined to vote for change in 1992	0.0416	0.7822	1.0
dream	has_property	gay	0.0416	0.9211	0.0009
starch	can	mean	0.0416	0.8744	0.0001
reagent	has_property	pronounce	0.0416	0.8872	0.0002
pepsi	has_property	more popular than coke	0.0416	0.8702	0.0751
route	has_property	we	0.0416	0.9436	0.0002
pi	call	tiger richard parker	0.0416	0.6834	1.0
boar	has_property	ireland	0.0416	0.9613	0.0002
tuesday	has_property	tv ma	0.0416	0.8993	0.0167
american	be	inclined to vote for change in 1922	0.0416	0.7822	1.0
bunny	has_property	irish	0.0416	0.9536	0.0002
nobody	talk	to circles math	0.0416	0.7191	1.0
spam	be	different to a penis	0.0416	0.8853	1.0
word	has_property	blurry	0.0416	0.9336	0.0021
personal	has_property	cns	0.0416	0.8909	0.0002
personal	has_property	gmbh	0.0416	0.7348	0.0005
personal	has_property	humility	0.0416	0.8055	0.3186
personal	has_property	txagorritxu	0.0416	1.0	1.0
garter	has_property	made	0.0416	0.9403	0.0
cassidy	become	vampire	0.0416	0.8917	0.0155
object	has_property	noun	0.0416	0.8678	0.0011
rna molecule	has_property	spliced	0.0416	0.6916	0.2063
potato	have	important eyes	0.0416	0.8471	0.0849
medicare	take money out of	paycheck	0.0416	0.8638	1.0
oscillation	can	mean	0.0416	0.8744	0.0001
unrest	has_property	uk	0.0416	0.9583	0.0
glucosuria	can	occur	0.0416	0.8906	0.0001
tornado	look like	inside	0.0416	0.9217	0.0312
farmer	know	to plant and harvest crops	0.0416	0.7837	1.0
emission	be tested	annually	0.0416	0.8049	0.7139
milk	has_property	good for bones	0.0416	0.9426	0.0544
cinnamon	has_property	dye	0.0416	0.8905	0.0036
plastic	has_property	shaped	0.0416	0.9166	0.002
linux	can be closed	from the linux gui	0.0416	0.843	1.0
waterfall	has_property	win	0.0416	0.8801	0.0008
electrical outlet	has_property	blowy	0.0416	0.7852	1.0
top	has_property	aquarium	0.0416	0.9562	0.0004
gnat	get	into the refrigerator	0.0416	0.9046	1.0
heat energy	move to	lower temperature	0.0416	0.8532	1.0
kiwi	has_property	produced	0.0416	0.9392	0.0003
fijian	has_color	black	0.0416	0.9414	0.0001
cyprus	has_property	ikea	0.0416	0.8341	0.0002
cyprus	has_movement	slower	0.0416	0.9259	0.0019
cyprus	has_property	wwi	0.0416	1.0	0.0002
cyprus	has_property	aquatic	0.0416	0.946	0.0001
mining	has_property	pan	0.0416	0.9497	0.0002
lecithin	has_property	soluble in water	0.0416	0.9563	0.0003
zep	has_trait	good	0.0416	0.9469	0.0
castor bean plant	has_property	work	0.0416	0.934	0.0002
square root	be used	to solve quadratics	0.0416	0.8986	1.0
vertebrate	has_property	divided	0.0416	0.9524	0.0021
being	truly is	in love like	0.0416	0.8271	1.0
graffiti	has_temperature	cool	0.0416	0.932	0.0006
carbon	be than	oxygen	0.0416	0.9356	0.5705
monoclonal antibody	be used in	pregnancy tests gcse	0.0416	0.907	1.0
polythene	has_property	wrap	0.0416	0.8732	0.0017
polo	have	number 3	0.0416	0.9586	0.0406
living thing	has_property	activities	0.0416	0.92	0.0068
personal	has_property	raf	0.0416	0.8292	1.0
imo	has_property	zoomed in	0.0416	0.9485	0.0012
diagnosis	differ from	assessment	0.0416	0.8611	1.0
galaxy	has_property	arranged	0.0416	0.9383	0.0043
streaming	can	buffer	0.0416	0.8663	0.0202
miami	can	look	0.0416	0.9308	0.0003
chordate	move	around	0.0416	0.8682	0.0012
parameter	be important in	python	0.0416	0.9695	0.0243
thing	has_time	tonight	0.0416	0.9431	0.0033
earache	has_property	worse at night	0.0416	0.9489	0.0013
weight	be different on	other planets	0.0416	0.9749	0.1146
mary shelley	leave	creature unpunished	0.0416	0.7798	1.0
reflection	has_property	or	0.0416	0.9344	0.0004
sodium thiosulfate	be used in	experiment	0.0416	0.922	0.0052
dedication	has_property	ignite	0.0416	0.8278	0.0005
victor	disenfranchised member of	society	0.0416	0.682	1.0
kidney	has_property	biopsy	0.0416	0.8797	0.1036
norfolk island pine	has_property	gaped	0.0416	0.635	0.1061
norfolk island pine	has_property	observed	0.0416	0.8295	0.0022
norfolk island pine	has_property	went	0.0416	0.8425	0.0002
norfolk island pine	has_property	ghosted	0.0416	0.8687	0.0002
norfolk island pine	has_property	in3	0.0416	1.0	0.3702
norfolk island pine	has_property	city	0.0416	0.9388	0.0002
conker	ripen earlier in	south of country	0.0416	0.7563	1.0
black	fall behind	whites	0.0416	0.7673	1.0
hypnotic	has_property	useful	0.0416	0.9425	0.0001
hamlet	has_property	unscrupulous adversaries	0.0416	0.7803	1.0
dune	be important to	coastal areas	0.0416	0.8998	0.3663
work	has_place	off	0.0416	0.9321	0.0003
consultant	has_movement	ahead	0.0416	0.9362	0.0001
rodent	adapt	to drought in the deserts	0.0416	0.8765	1.0
scientist	find out	about the inner core of earth	0.0416	0.8357	1.0
pineapple	has_property	during pregnancy	0.0416	0.9384	0.0264
retinol	has_effect	dangerous	0.0416	0.9489	0.0
basketball	has_property	different sizes	0.0416	0.9422	0.0018
antisocial personality disorder	has_property	dan	0.0416	0.9508	0.0002
antisocial personality disorder	has_trait	odd	0.0416	0.9284	0.0002
blue whale	travel to	warm water	0.0416	0.8453	1.0
areola	can	grow	0.0416	0.9154	0.0001
diarrhea	can	float	0.0416	0.8684	0.0005
consumer	has_property	confidence today	0.0416	0.7543	1.0
police department	do	lip sync challenges	0.0416	0.7043	1.0
chanukah	has_property	is made	0.0416	0.914	0.035
nix	prevent	re infestation	0.0416	0.715	1.0
pons	has_property	varolii	0.0416	1.0	1.0
pine tree	be adapted	to reduce water loss	0.0416	0.8294	0.3119
flight	be out of	jfk today	0.0416	0.9322	0.3274
rock	be made of	same basic minerals	0.0416	0.7738	1.0
ostrich	spin in	circles	0.0416	0.8053	0.0111
shopping	be in	leis vegas	0.0416	0.9446	0.0061
confucianist	can	means	0.0416	0.8633	0.0022
flea bite	has_property	irritates	0.0416	0.7431	0.2249
flea bite	has_property	ira	0.0416	0.9214	0.0007
flea bite	has_property	odorous	0.0416	0.7047	0.5124
flea bite	has_property	mrs	0.0416	0.9276	0.0007
flea bite	has_property	mp3	0.0416	0.8867	0.0001
flea bite	has_property	marks	0.0416	0.9055	0.0916
flea bite	has_property	impact	0.0416	0.8652	0.0003
flea bite	has_property	immune	0.0416	0.8996	0.0152
flea bite	has_property	appearance	0.0416	0.9506	0.0102
flea bite	has_property	hypersensitivity	0.0416	0.6146	0.0093
flea bite	has_property	hmong	0.0416	1.0	0.0169
