local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.0002	0.8827	jump	0.1615	can	inductor
0.1127	0.9316	ocean	0.1615	can live in	cow
0.0003	0.9144	go	0.1615	has_property	sale
0.006	0.8418	ultra	0.1615	has_property	red light
0.0006	0.947	tv	0.1615	has_property	red light
0.0034	0.9044	shirts	0.1615	has_property	red light
0.0011	0.8863	feel	0.1615	can	adhesion
0.2126	0.8175	them self	0.1615	protect	jaguar
1.0	0.8452	planes	0.1615	go for	terrorist
0.004	0.8042	operate	0.1615	can	landfill
0.0002	0.8827	jump	0.1615	can	limpness
0.0549	0.8498	spain	0.1615	work in	funeral
0.0012	0.9563	soluble in water	0.1615	has_property	oleic acid
0.0022	0.8966	black	0.1615	go	tonsil
0.0009	0.907	brown	0.1615	has_color	football
0.0969	0.9071	juno	0.1615	has_property	t cell
0.0014	0.901	in danger	0.1615	has_property	river
0.2479	0.793	hands	0.1615	form on	callus
1.0	0.8316	in children's education	0.1615	can get involved	parent
1.0	0.7063	movies based on books	0.1615	change	director
0.0013	0.9812	us	0.1615	be important to	heart
0.1259	0.785	land	0.1615	survive on	reptile
0.002	0.9322	food	0.1615	eat	pigeon
0.0011	0.8957	jobs	0.1615	can	baring
0.0014	0.8487	natural	0.1615	has_property	petroleum
0.0	0.8642	work	0.1615	can	slask
0.0763	0.8615	matter	0.1615	affect	radio wave
0.2988	0.8921	to be cooled	0.1615	need	engine
0.7667	0.8034	jungle	0.1615	go into	kirk
0.0158	0.8072	slide	0.1615	can	tampon
0.1105	0.8697	twice	0.1615	rise	dough
1.0	0.7624	by muslims as the perfect man	0.1615	be viewed	muhammad
0.0273	0.9497	wood	0.1615	chew on	puppy
0.0003	0.9462	text	0.1615	has_property	network
0.0018	0.9177	sos	0.1615	has_property	text
0.0152	0.9095	nation	0.1615	has_property	zulu
0.0002	0.9383	money	0.1615	make	goat
0.0002	0.9383	money	0.1615	make	adviser
1.0	0.8308	ct scan	0.1615	ask for	doctor
0.0018	0.9439	environment	0.1615	adapt to	eagle
0.4793	0.6703	resurface	0.1615	can	submarine
1.0	0.7872	energy to each other in a solid	0.1615	transfer	molecule
0.6395	0.7817	when hurt	0.1615	react	pisces
0.0337	0.8213	each other	0.1615	affect	macroeconomics
0.1644	0.8414	size	0.1615	run in	scrub
0.002	0.9548	zoo	0.1615	has_property	manul
0.0002	0.9192	do	0.1615	can	cornea
0.059	0.9367	plants survive	0.1615	help	pollinator
0.044	0.8551	shout	0.1615	can	toddler
1.0	0.8883	commas	0.1615	be used instead of	dash
0.1079	0.7897	yaks	0.1615	can	yack
0.0016	0.8062	iced	0.1615	has_property	crop
1.0	0.8582	triangle	0.1615	be different from	equilateral triangle
0.4862	0.9172	much	0.1615	be paid to	athlete
0.0005	0.8638	zoom	0.1615	can	handstand
0.3346	0.7723	job	0.1615	adapt to	red blood cell
0.0334	0.8015	updating	0.1615	keep	ark
0.1556	0.9203	developing countries	0.1615	affect	tax haven
0.0253	0.8123	uneven	0.1615	has_property	floor
0.011	0.8899	one leg	0.1615	stand on	pheasant
0.0016	0.8106	explode	0.1615	can	meteorite
0.0002	0.8827	jump	0.1615	can	trawler
0.0164	0.8602	fabric	0.1615	has_property	batik
0.4106	0.9261	as a major	0.1615	be	neurobiology
0.0523	0.7963	blend	0.1615	can	dive
0.0	0.8642	work	0.1615	can	trenton
0.0001	0.9469	good	0.1615	has_trait	fact
0.0011	0.8289	zone	0.1615	can	taleban
1.0	0.8059	to sleep	0.1615	can lay down	horse
1.0	0.7882	to create an algebraic expression	0.1615	can be used	variable
0.0003	0.866	form	0.1615	can	pluton
0.0005	0.9061	reproduce	0.1615	can	sailfish
1.0	0.7724	the dragon rated 18	0.1615	has_property	enter
0.5769	0.8196	cats	0.1615	feed	vegetarian
1.0	0.669	entering uk airspace	0.1615	keep	russia
0.3319	0.805	liquids	0.1615	differ from	gas
0.0005	0.8726	move	0.1615	can	trilobite
0.0007	0.9407	la	0.1615	has_property	homey
0.0154	0.8808	eternal	0.1615	has_property	bangle
0.4262	0.7786	bubbling	0.1615	keep	beer
0.3395	0.8679	different from amphibians	0.1615	has_property	reptile
0.0036	0.8962	warm	0.1615	stay	alpaca
0.0002	0.8596	occur	0.1615	can	blister
0.01	0.9126	football	0.1615	be important in	fitness
1.0	0.7948	downward	0.1615	slope	aggregate demand curve
0.0062	0.9185	film	0.1615	has_property	maserati
0.0002	0.8827	jump	0.1615	can	brogue
0.0004	0.8248	end	0.1615	can	brogue
0.0002	0.8951	are	0.1615	can	de
1.0	0.8877	sky rim	0.1615	eat in	vampire
0.6116	0.7954	esp	0.1615	work in	antenna
0.0005	0.905	cut	0.1615	has_property	molar
0.0004	0.8745	gas	0.1615	can	jaw
0.2418	0.9043	zika	0.1615	have	chile
0.0074	0.889	moldy	0.1615	get	pasta sauce
1.0	0.8661	vagina	0.1615	go in	penis
0.0005	0.8638	zoom	0.1615	can	bullfighter
0.0002	0.8569	quit	0.1615	can	bullfighter
0.0224	0.8236	jacket	0.1615	can	bullfighter
1.0	0.8967	in the dark at night	0.1615	see	raccoon
0.001	0.8893	dot	0.1615	has_property	blood clot
0.2937	0.924	green to red	0.1615	turn from	strawberry
0.0011	0.8341	valid	0.1615	has_property	sprint
0.0005	0.9061	reproduce	0.1615	can	pug
0.0016	0.8903	communicate	0.1615	can	pug
0.1329	0.9246	smarter than humans	0.1615	has_property	elephant
0.41	0.7512	to an audience	0.1615	communicate meaning	newspaper
1.0	0.8611	person	0.1615	sleep with	cat
0.0265	0.8199	tails	0.1615	use	lemur
0.1418	0.9134	puppies	0.1615	kill	worm
1.0	0.8885	society negative	0.1615	affect	volcanic eruption
0.3774	0.8357	jaundice	0.1615	treat	hospital
1.0	0.8534	frost	0.1615	form	freezer
1.0	0.7013	women editors	0.1615	can woo	wikipedia
