subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
tax revenue	has_property	gerald	0.0385	0.9074	0.0208
tax revenue	has_property	taxable	0.0385	0.9066	0.0006
big brother	start	late	0.0385	0.9377	0.0226
product	be	related	0.0385	0.961	0.0001
religion	has_property	cut	0.0385	0.9258	0.0001
confidence	be considered for	women	0.0385	0.9024	1.0
chris	go to	interview company	0.0385	0.7909	1.0
cream puff	fail	rise	0.0385	0.7817	0.1162
smoothy	give	sore throat	0.0385	0.9197	0.011
miller	hate	underwood	0.0385	0.9265	1.0
oceanic	has_property	drift	0.0385	0.7909	0.0298
iva	can	cost	0.0385	0.8786	0.0013
iva	can	take	0.0385	0.8995	0.0022
iva	can	last	0.0385	0.8139	0.0003
cheetah	has_property	attack	0.0385	0.9499	0.0021
dog	lick much	themselves	0.0385	0.9264	0.25
internet explorer	has_property	net	0.0385	0.8675	0.0008
penguin	huddle together against	cold wind	0.0385	0.8084	1.0
cpi	be calculated for	urban areas	0.0385	0.8675	0.5118
eucalypt	has_property	silicone	0.0385	0.7633	0.2137
eucalypt	has_property	square	0.0385	0.9467	0.0002
steward	can	mean	0.0385	0.8744	0.0001
sensation	allow	acquire	0.0385	0.8294	1.0
sour milk	has_property	refrigerated	0.0385	0.9185	0.0008
photosynthesis	related	to carbohydrates	0.0385	0.9277	0.0782
taxonomy	has_movement	ahead	0.0385	0.9362	0.0001
website	has_property	inquiry	0.0385	0.8866	0.0182
stoma	has_place	away	0.0385	0.938	0.0001
ortho	adapt	work	0.0385	0.8817	1.0
coil	have shining	cover metal surface	0.0385	0.7271	1.0
saline solution	has_property	sam	0.0385	0.9142	0.0003
muscle	be sore after	gym	0.0385	0.8308	0.592
bimester	has_time	yet	0.0385	0.9117	0.0002
cell	produce atp under	under anaerobic conditions	0.0385	0.7891	1.0
wild animals	has_property	bulgaria	0.0385	1.0	0.016
movie	motivate	kids	0.0385	0.8104	1.0
respiration	be dependent on	chemical factors	0.0385	0.8097	0.5031
glucose	has_effect	toxic	0.0385	0.9121	0.0004
detective	use finger prints	identify	0.0385	0.7639	1.0
unhealthiness	has_property	fee	0.0385	0.8949	0.0002
breast feeding	has_property	sol	0.0385	0.9631	0.0002
website	has_property	lapp	0.0385	1.0	0.0047
topaz	be birthstone of	december	0.0385	0.8923	1.0
child	need	someone	0.0385	0.8359	1.0
alpaca	has_property	grow	0.0385	0.8787	0.002
quality	relate to	eight business functions	0.0385	0.808	1.0
thermel	has_property	triage	0.0385	0.6389	0.4134
thermel	has_property	ablation	0.0385	0.6411	0.0325
thermel	has_property	bbc	0.0385	0.9544	0.0001
thermel	has_property	cd	0.0385	0.9474	0.0001
thermel	has_property	evaporation	0.0385	0.8925	0.0617
thermel	has_movement	edge	0.0385	0.9179	0.0022
thermel	has_property	cd	0.0385	0.9474	0.0001
thermel	has_property	bbc	0.0385	0.9544	0.0001
thermel	has_property	ablation	0.0385	0.6411	0.0325
thermel	has_property	pyramid	0.0385	0.9008	0.0003
thermel	has_property	sickening	0.0385	0.7477	0.7282
thermel	has_property	wc	0.0385	0.9054	0.0014
plat	grow better than	soil	0.0385	0.8783	0.3465
kosovo	has_property	slavic	0.0385	0.7905	0.0141
dean	arose deserve	a rematch	0.0385	0.6741	1.0
kennedy	have	eternal flame	0.0385	0.8491	0.3604
everyone	can	drink	0.0385	0.9189	0.0008
teacher	tend	pick	0.0385	0.8011	1.0
voice	has_property	played	0.0385	0.9496	0.0016
mount kilimanjaro	has_time	yet	0.0385	0.9117	0.0002
usps	has_property	ahwatukee	0.0385	1.0	0.0061
omelette	be cooked at	room temperature	0.0385	0.9112	1.0
hair	has_property	belts	0.0385	0.9536	0.0001
liverpool	be best team in	world	0.0385	0.935	0.4273
cad	reduce	lead time	0.0385	0.8032	1.0
po	can	expire	0.0385	0.8774	0.0002
medusa	be born	to do what a gogol do	0.0385	0.8595	1.0
chat	hate	bsa	0.0385	0.9419	1.0
paving	be done in	summer months	0.0385	0.9184	1.0
bee	use honey comb	hold	0.0385	0.7837	1.0
hair	has_property	weird	0.0385	0.8936	0.0003
aphorism	reflect	ideals of transcendentalism	0.0385	0.8692	1.0
cougar	be important to	environment	0.0385	0.9784	0.0014
country	develop than	ghana	0.0385	0.7276	1.0
precambrian rocks	has_trait	difficult	0.0385	0.9117	0.0003
karyotype	kill	humans	0.0385	0.9255	0.0024
human body	keep on	cold day	0.0385	0.8752	1.0
foot-and-mouth disease	has_property	work	0.0385	0.934	0.0001
foot-and-mouth disease	has_property	positive	0.0385	0.9258	0.0007
souffle	can	shrink	0.0385	0.8139	0.0012
field line	has_property	more crowded	0.0385	0.8977	1.0
drug	treat	cancer	0.0385	0.9248	0.0041
orangutan	has_property	under threat	0.0385	0.8737	0.0032
ben	feel about	willy	0.0385	0.8053	0.2331
fort	has_property	collins	0.0385	0.7938	0.1075
blood sugar	be high before	bed	0.0385	0.8573	1.0
worker	suffer from	respiratory diseases	0.0385	0.8234	1.0
evaluation	has_property	award	0.0385	0.9364	0.0004
amount	appear under	non current asset	0.0385	0.7619	1.0
phytoplankton	form	long chains	0.0385	0.9326	1.0
malnutrition	has_property	common in developing countries	0.0385	0.93	0.0373
texas ranger	has_property	useful	0.0385	0.9452	0.0001
manual	has_property	osteopathy	0.0385	0.8644	0.015
ph	negatively affect	water sources	0.0385	0.8304	1.0
propene	has_property	made	0.0385	0.9403	0.0
book of proverbs	has_property	chapter	0.0385	0.9495	0.0343
man	get	rush	0.0385	0.8453	1.0
massachusetts bay colony	has_property	did	0.0385	0.881	0.0002
child	wear	safety gear	0.0385	0.8579	1.0
human being	be considered	most important resource	0.0385	0.9528	0.6921
bishop	take off skull cap during	mass	0.0385	0.7425	1.0
man	get sexually stimulated	watching	0.0385	0.7444	1.0
microsoft	push 10 hard	windows	0.0385	0.7453	1.0
clutch pedal	has_property	hb20	0.0385	1.0	0.2787
clutch pedal	has_movement	twisted	0.0385	0.854	0.0017
clutch pedal	has_property	symptoms	0.0385	0.9126	0.0009
clutch pedal	has_property	sic	0.0385	0.9255	0.0004
clutch pedal	has_property	hb20	0.0385	1.0	0.2787
deduction	be used in	economics	0.0385	0.893	0.0164
animal	be dependent on	each other	0.0385	0.8924	0.0165
research	has_property	controversial	0.0385	0.8651	0.0027
bryce canyon national park	has_movement	left	0.0385	0.9237	0.0005
fine structure	has_trait	constant	0.0385	0.8933	0.0027
self-rising flour	has_property	euro	0.0385	0.9601	0.0013
virgin	send	new him cards	0.0385	0.8304	1.0
magnesium	has_property	ads	0.0385	0.957	0.0001
croatia	has_property	yugoslavia	0.0385	1.0	0.0101
writer	has_property	illawarra	0.0385	1.0	0.0174
writer	has_property	ayyappan	0.0385	1.0	0.5218
un	be important to	small countries	0.0385	0.9219	1.0
ut	has_property	wear	0.0385	0.8927	0.001
yellow river	has_property	ct	0.0385	0.9493	0.0021
yellow river	has_property	nyse	0.0385	0.8401	0.0009
yellow river	has_property	orchestra	0.0385	0.9559	0.0078
yellow river	has_property	frog	0.0385	0.8874	0.0158
teen	love	edward cullen	0.0385	0.8235	0.4668
sanitation	be	in medieval times	0.0385	0.9338	0.1442
person	decide	married	0.0385	0.8257	0.0875
farmer	hang bodies from	fences	0.0385	0.7704	1.0
cell	die during	normal development	0.0385	0.7244	1.0
scientist	use twins	learn about human characteristics	0.0385	0.7405	1.0
mummification	be used	for pharaohs usually	0.0385	0.8436	1.0
country	provide	laws protect	0.0385	0.7725	1.0
queue	be on	fortunate	0.0385	0.921	0.0168
animal	seem	chew endlessly	0.0385	0.7905	1.0
celeriac	related	to celery	0.0385	0.7812	1.0
medication	kill	pin worms	0.0385	0.8778	0.0513
substitution	has_movement	ahead	0.0385	0.9362	0.0001
triple crown	has_property	vic	0.0385	0.8131	0.0014
victory	has_property	amer	0.0385	1.0	0.0019
saul	has_property	did	0.0385	0.881	0.0002
eczema	affect	joints	0.0385	0.9761	0.0061
cat	smell	citrus fruits	0.0385	0.8135	1.0
brass	has_property	compound	0.0385	0.9524	0.0013
geologist	look for	fossilized creatures	0.0385	0.7742	1.0
student	keep	cutting	0.0385	0.9159	1.0
technical analysis of stock trends	has_property	unique	0.0385	0.886	0.0003
star	seem	rotate	0.0385	0.8476	1.0
iranian	put eggs under	new car tires	0.0385	0.7642	1.0
wanamaker	has_time	young	0.0385	0.8954	0.0002
pork	has_property	fermenting	0.0385	0.7574	0.0174
pork	has_property	ruling	0.0385	0.8171	0.0112
pork	has_property	dying	0.0385	0.9395	0.0002
pork	has_movement	ahead	0.0385	0.9362	0.0001
mexican poppy	survive in	desert	0.0385	0.9835	0.0007
fish	be bad for	pregnancy	0.0385	0.9689	0.0047
note	use	cellular data	0.0385	0.8988	0.0295
methodology	has_property	impact	0.0385	0.8652	0.0003
nasdaq	has_place	down	0.0385	0.9397	0.0001
aluminium chloride	has_property	specification	0.0385	0.8879	0.0206
aluminium chloride	has_property	smell	0.0385	0.9059	0.002
aluminium chloride	has_property	shampoo	0.0385	0.9535	0.0086
aluminium chloride	has_property	serum	0.0385	0.8332	0.0164
aluminium chloride	has_property	schädlich	0.0385	1.0	0.138
normal curve	relate to	intelligence test scores	0.0385	0.7724	1.0
alignment	can	mean	0.0385	0.8744	0.0001
arsenic	has_property	ads	0.0385	0.957	0.0001
blood typing	has_property	list	0.0385	0.9271	0.0008
yin	be	since the update	0.0385	0.9143	1.0
ma'am	has_property	spelling	0.0385	0.8185	0.01
president	get	grant	0.0385	0.9081	1.0
black widow	be dangerous for	humans	0.0385	0.9695	0.0926
soda ash	has_property	turkey	0.0385	0.9525	0.0038
spider web	has_property	formed	0.0385	0.9373	0.0001
straight	has_property	nba	0.0385	0.963	0.0002
free will	be used in	bruce almighty	0.0385	0.7679	1.0
cell	use	transport proteins	0.0385	0.9209	1.0
carpet beetle	has_property	queued	0.0385	0.8828	0.0024
carpet beetle	has_property	zoned	0.0385	0.7871	0.0002
macho	can	evolve	0.0385	0.8939	0.0002
breast cancer	has_property	t-shirt	0.0385	1.0	0.0005
plane	produce	most carbon dioxide	0.0385	0.9583	0.2863
crocodile	eat	poo	0.0385	0.9093	0.0344
hindu	oppose	violence	0.0385	0.748	1.0
guy	get	new leg	0.0385	0.7587	1.0
snapping turtle	protect	itself	0.0385	0.857	0.0007
loon	has_property	hawaii	0.0385	0.9454	0.0067
westerner	know	less about cambodians than holocaust of jews	0.0385	0.7961	1.0
eye	experience pain from	light	0.0385	0.845	1.0
flood	normally occur at	temperate latitudes	0.0385	0.7807	1.0
attenuation	has_property	zero calculated	0.0385	0.8508	0.0023
jewish people	wear	yarmulkes	0.0385	0.8459	0.081
jewish people	wear	wigs	0.0385	0.9284	0.0047
jewish people	wear	kips	0.0385	0.8386	1.0
jewish people	wear	glasses	0.0385	0.9412	0.0012
jewish people	wear	black	0.0385	0.9436	0.0005
cartoon	say	zzzzzzzzzzzzz	0.0385	0.9102	1.0
thing	remain	joy forever	0.0385	0.7536	1.0
male	love	releasing	0.0385	0.7017	1.0
elephant	have	longer gestation period then mice	0.0385	0.8106	1.0
dubai airport	has_property	closed	0.0385	0.9493	0.0002
esr	has_property	low	0.0385	0.9407	0.0002
radiation	used	to treat cancer	0.0385	0.9496	0.3943
innovation	has_property	met	0.0385	0.9333	0.0002
starbucks	has_property	rrhh	0.0385	1.0	0.0049
starbucks	has_property	pflugerville	0.0385	1.0	0.003
starbucks	has_property	pd	0.0385	0.9647	0.0001
starbucks	has_property	nkjv	0.0385	1.0	0.0003
starbucks	has_property	wow	0.0385	0.9396	0.0008
starbucks	has_property	tlc	0.0385	0.9135	0.0001
starbucks	has_property	tbilisi	0.0385	1.0	0.0008
starbucks	has_property	resow	0.0385	1.0	0.0007
starbucks	has_property	pvc	0.0385	0.9112	0.0004
starbucks	has_property	rna	0.0385	1.0	0.0002
starbucks	has_property	piggy	0.0385	0.7834	0.0329
starbucks	has_property	oz	0.0385	0.9592	0.0007
starbucks	has_property	watch	0.0385	0.9442	0.0001
starbucks	has_property	ivy	0.0385	0.9237	0.0002
starbucks	has_property	iquique	0.0385	1.0	0.0026
starbucks	has_property	iidabashi	0.0385	1.0	0.5352
starbucks	has_property	ixtapa	0.0385	1.0	0.0061
starbucks	has_property	ignored	0.0385	0.9374	0.0001
starbucks	has_property	gzsz	0.0385	1.0	0.0002
starbucks	has_property	went	0.0385	0.8425	0.0002
starbucks	has_property	gniezno	0.0385	1.0	0.0078
starbucks	has_property	ghosted	0.0385	0.8687	0.0002
starbucks	has_property	ggc	0.0385	1.0	0.0103
starbucks	has_property	fjallraven	0.0385	1.0	0.0003
starbucks	has_property	dwarf	0.0385	0.9475	0.0001
starbucks	has_property	elf	0.0385	0.8869	0.0048
starbucks	has_property	decaf	0.0385	0.9257	0.2997
starbucks	has_property	cpu	0.0385	0.964	0.0001
starbucks	has_property	cfo	0.0385	0.8489	0.0004
starbucks	has_property	wwi	0.0385	1.0	0.0002
starbucks	has_property	aquatic	0.0385	0.946	0.0001
starbucks	has_property	ajax	0.0385	0.9415	0.0002
central african republic	has_property	use	0.0385	0.9446	0.0001
tuna fish	be bad during	pregnancy	0.0385	0.9543	0.0036
chicken	peck	others	0.0385	0.8371	1.0
torrent	has_property	app	0.0385	0.9486	0.0004
bronchitis	has_property	difference	0.0385	0.8734	0.0011
dna	be packed inside of	chromosome	0.0385	0.8312	1.0
family doctor	be paid in	canada	0.0385	0.9284	0.0187
eris	be	similar	0.0385	0.9394	0.0001
operation	has_property	valid	0.0385	0.9071	0.0003
diffusion	be important in	process of digestion	0.0385	0.9395	0.5054
lunt	has_property	pharmacy	0.0385	0.9306	0.0271
lunt	has_property	work	0.0385	0.934	0.0001
spreadsheet	has_property	ireland	0.0385	0.9613	0.0002
reconciliation	has_property	sacrament	0.0385	0.922	0.0106
proton	resist	squeezed together	0.0385	0.6798	1.0
polyvinyl acetate	has_property	addition polymer	0.0385	0.8868	0.532
obesity	has_property	most common	0.0385	0.8966	0.0078
route	be determined in	sap	0.0385	0.9087	0.469
cream	has_property	double	0.0385	0.9431	0.0103
phimosis	can	occur	0.0385	0.8906	0.0001
florida	be	same	0.0385	0.9642	0.0003
argument	be passed in	python	0.0385	0.8886	0.1193
despotism	can	mean	0.0385	0.8744	0.0001
jewish people	eat herbs on	passover	0.0385	0.8453	0.4946
walt disney world	has_property	bank	0.0385	0.9448	0.0016
russia	be poor before	revolution in 1914	0.0385	0.8894	1.0
truck	get	better gas mileage pulling	0.0385	0.9438	1.0
christmas tree	taste like	skittles	0.0385	0.7769	1.0
error	has_property	detection	0.0385	0.8039	0.0196
fare	vary for	same flight	0.0385	0.7886	1.0
pony	eat	watermelons	0.0385	0.8522	1.0
ac	has_property	current important	0.0385	0.9065	0.0842
state	require	license plates on front	0.0385	0.8999	1.0
anthropometry	be used	to measure nutritional status	0.0385	0.769	1.0
cricket	be in	olden days	0.0385	0.9271	0.2996
se	hate	healers	0.0385	0.7359	1.0
boomerang	have	commercials	0.0385	0.8909	0.0039
plant	wilt	watered too much	0.0385	0.7349	1.0
teen	try	kill	0.0385	0.9025	0.0098
most people	educate	themselves	0.0385	0.8079	0.5804
child	try	annoy	0.0385	0.8123	1.0
abc	choose	next bachelorette	0.0385	0.8047	1.0
bee	see	ultra violet rays	0.0385	0.7363	1.0
india	kill kashmir muslims in	state of jammy	0.0385	0.7761	1.0
scrooge	obsessed with	money	0.0385	0.7884	0.6063
talon	want	war	0.0385	0.8873	0.0244
depiction	differ from	traditional perspective	0.0385	0.8421	1.0
sand lizard	has_property	endangered	0.0385	0.9512	0.0001
nuclear energy	be converted into	electricity	0.0385	0.9365	0.0148
calvin	get shot in	house of payne	0.0385	0.832	1.0
mexico	have	more drugs than other countries	0.0385	0.8594	1.0
metal	has_property	dan	0.0385	0.9508	0.0002
fat cell	has_property	veto	0.0385	0.9493	0.0002
substance	dissolve faster than	cold water	0.0385	0.9158	0.5011
metric system	be preferred over	english system	0.0385	0.809	0.3769
marine	has_property	bbc	0.0385	0.9544	0.0001
marine	has_property	gpa	0.0385	0.9281	0.0002
shylock	accept invitation to	dinner	0.0385	0.7646	1.0
website	has_property	pulled	0.0385	0.898	0.005
saint john	have	wort work	0.0385	0.7281	1.0
crus	has_property	ill	0.0385	0.9514	0.0002
halitosis	be	cured	0.0385	0.9245	0.0024
cat scan	has_property	performed	0.0385	0.9331	0.0008
zoonotic disease	has_property	goats	0.0385	0.8916	0.2518
website	has_property	noted	0.0385	0.9262	0.0017
cave	need	protecting	0.0385	0.8768	0.0274
valuation	has_property	needed	0.0385	0.9335	0.0002
court	charge	fees	0.0385	0.9195	0.0118
melt	has_property	ivs	0.0385	1.0	0.0912
expat	move	spain	0.0385	0.8759	0.3461
parent	get	very worried	0.0385	0.8057	1.0
sat	differ from	act	0.0385	0.8849	0.4453
parent	do	more bad things	0.0385	0.9018	1.0
pimple	heal	while on accurate	0.0385	0.7748	1.0
scientist	keep	visiting	0.0385	0.7637	0.5647
ankle	posed	zip	0.0385	0.6558	0.1226
chloride	has_property	either	0.0385	0.8985	0.0009
actor	try	to sing	0.0385	0.8466	1.0
alberta	be in	recession	0.0385	0.8681	0.0056
pay	be with	gas buddy work	0.0385	0.8045	1.0
table salt	has_property	fun	0.0385	0.9111	0.0003
blizzard	can do	the same for comp	0.0385	0.8466	1.0
pay	be with	later blarney work	0.0385	0.8486	1.0
necessity	has_movement	ahead	0.0385	0.9362	0.0001
necessity	has_property	ignite	0.0385	0.8278	0.0005
barcelona	has_property	beaches	0.0385	0.9392	0.0192
dehydration	has_property	aquarius	0.0385	1.0	0.0002
dehydration	has_property	set	0.0385	0.9417	0.0003
dehydration	has_property	cirrhosis	0.0385	0.9605	0.0083
dehydration	has_property	aquarius	0.0385	1.0	0.0002
dehydration	has_property	set	0.0385	0.9417	0.0003
move	relearned	work	0.0385	0.642	1.0
king john	be	bad king	0.0385	0.924	0.0609
tyler	have	power app work	0.0385	0.8285	0.4919
vessel	has_property	ironic	0.0385	0.8185	0.0067
valentine	save under	under peter	0.0385	0.755	1.0
sault	be pronounced	sew	0.0385	0.7587	0.7177
proton	determine	element 's identity	0.0385	0.7956	1.0
release	has_property	date	0.0385	0.9301	0.0016
computer	manipulate	executive binary instructions	0.0385	0.6629	1.0
wage	has_property	award	0.0385	0.9364	0.0004
argus	related	to odysseus	0.0385	0.9262	0.1237
muslim	need	clean area	0.0385	0.8384	1.0
raptor	be in	fortunate	0.0385	0.9494	0.0008
weather	be different in	different places on earth	0.0385	0.9271	0.3796
piggy	go	swimming	0.0385	0.9006	0.023
barrack	has_property	zero rated	0.0385	0.8533	0.0007
eat apple	has_property	zucchini	0.0385	0.944	0.0011
halloween	has_property	awesome	0.0385	0.8884	0.0002
doodle	be	like the scarlet ibis	0.0385	0.8593	1.0
hurricane	occur along	mainly equator	0.0385	0.9398	1.0
stock cube	has_property	rated	0.0385	0.9312	0.0002
parsons table	has_property	made	0.0385	0.9403	0.0
christian	see	creation	0.0385	0.7674	0.6192
bullying	has_time	today	0.0385	0.9304	0.0003
species	evolve rapidly after	mass extinction	0.0385	0.7959	1.0
gond	has_property	ill	0.0385	0.9514	0.0002
milk	has_property	ta	0.0385	0.8964	0.0005
hopper	be with	sling work	0.0385	0.8617	1.0
haemostasis	has_property	flashcards	0.0385	0.8526	0.0194
haemostasis	has_trait	irritable	0.0385	0.7323	0.0023
duct tape	take off	warts	0.0385	0.7976	1.0
germany	learn about	holocaust	0.0385	0.8336	0.4948
jew	follow	rules about kosher food	0.0385	0.819	1.0
military unit	be	numbered	0.0385	0.917	0.0007
shaw	feel about	popularity of romance genre	0.0385	0.6817	1.0
honey	be good for	ulcers	0.0385	0.8986	0.0917
web apps	use	multiple languages	0.0385	0.8255	1.0
scientist	look for	water vapor ozone	0.0385	0.8048	1.0
stuff	get after	rusting	0.0385	0.7844	0.2251
angle of inclination	has_property	effective	0.0385	0.9393	0.0001
angle of inclination	has_property	negative	0.0385	0.9292	0.0004
selenium	communicate with	browser	0.0385	0.7953	1.0
bleat	can	mean	0.0385	0.8744	0.0001
hindu	want	achieve	0.0385	0.8859	0.5014
anxiety	can	lie	0.0385	0.8786	0.0016
magnetic field	has_property	equation	0.0385	0.9006	0.0013
cat	get run over	still	0.0385	0.9378	1.0
infection	can	mean	0.0385	0.8744	0.0001
novocaine	can	hurt	0.0385	0.8988	0.0001
asia	has_property	irving	0.0385	0.8722	0.024
tankless water heaters	has_property	written	0.0385	0.9137	0.0002
tankless water heaters	has_property	rwanda	0.0385	1.0	0.0004
tankless water heaters	has_property	reba	0.0385	1.0	0.0011
tankless water heaters	has_property	sent	0.0385	0.9432	0.0081
tankless water heaters	has_property	pyramid	0.0385	0.9008	0.0003
tankless water heaters	has_property	faff	0.0385	0.7559	0.003
tankless water heaters	has_property	hr	0.0385	0.9528	0.0015
tankless water heaters	has_property	wgtn	0.0385	1.0	0.0011
